2025-02-04 16:46:23 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2025-02-04 16:46:23 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:23 install libtirpc-common:all <none> 1.3.3+ds-1
2025-02-04 16:46:23 status half-installed libtirpc-common:all 1.3.3+ds-1
2025-02-04 16:46:23 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-02-04 16:46:23 install libtirpc3:amd64 <none> 1.3.3+ds-1
2025-02-04 16:46:23 status half-installed libtirpc3:amd64 1.3.3+ds-1
2025-02-04 16:46:23 status unpacked libtirpc3:amd64 1.3.3+ds-1
2025-02-04 16:46:23 install libnsl2:amd64 <none> 1.3.0-2
2025-02-04 16:46:23 status half-installed libnsl2:amd64 1.3.0-2
2025-02-04 16:46:23 status unpacked libnsl2:amd64 1.3.0-2
2025-02-04 16:46:23 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2025-02-04 16:46:23 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2025-02-04 16:46:23 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2025-02-04 16:46:23 install libnsl-dev:amd64 <none> 1.3.0-2
2025-02-04 16:46:23 status half-installed libnsl-dev:amd64 1.3.0-2
2025-02-04 16:46:23 status unpacked libnsl-dev:amd64 1.3.0-2
2025-02-04 16:46:23 install rpcsvc-proto:amd64 <none> 1.4.3-1
2025-02-04 16:46:23 status half-installed rpcsvc-proto:amd64 1.4.3-1
2025-02-04 16:46:23 status unpacked rpcsvc-proto:amd64 1.4.3-1
2025-02-04 16:46:23 install libc6-dev:amd64 <none> 2.36-9+deb12u9
2025-02-04 16:46:23 status half-installed libc6-dev:amd64 2.36-9+deb12u9
2025-02-04 16:46:24 status unpacked libc6-dev:amd64 2.36-9+deb12u9
2025-02-04 16:46:24 install libstdc++-12-dev:amd64 <none> 12.2.0-14
2025-02-04 16:46:24 status half-installed libstdc++-12-dev:amd64 12.2.0-14
2025-02-04 16:46:24 status unpacked libstdc++-12-dev:amd64 12.2.0-14
2025-02-04 16:46:24 install g++-12:amd64 <none> 12.2.0-14
2025-02-04 16:46:24 status half-installed g++-12:amd64 12.2.0-14
2025-02-04 16:46:24 status unpacked g++-12:amd64 12.2.0-14
2025-02-04 16:46:24 install g++:amd64 <none> 4:12.2.0-3
